NY,40,510,No,No,0,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1
OR,142,510,No,Yes,22,224.4,114,38.15,146,106,12.41,241.4,98,10.86,8.8,2,2.38,1
SD,78,408,No,No,0,163.6,88,27.81,283.4,93,24.09,262.1,108,11.79,8.6,9,2.32,0
MI,225,415,No,No,0,165.4,106,28.12,273.7,109,23.26,210,93,9.45,8.7,3,2.35,0
DE,113,415,No,No,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2
MD,62,408,No,No,0,321.1,105,54.59,265.5,122,22.57,180.5,72,8.12,11.5,2,3.11,4
NH,161,415,No,No,0,173.4,100,29.48,213.7,74,18.16,141.5,69,6.37,11.5,4,3.11,1
CT,141,408,No,No,0,51.9,108,8.82,162,83,13.77,223.5,115,10.06,10.1,3,2.73,3
OR,67,415,Yes,No,0,120.9,58,20.55,235,88,19.98,95.1,130,4.28,11.4,11,3.08,2
NJ,80,415,No,No,0,268.7,120,45.68,301,147,25.59,167,140,7.52,5.8,1,1.57,2
MS,103,510,No,Yes,29,164.1,111,27.9,219.1,96,18.62,220.3,108,9.91,12.3,9,3.32,0
ND,101,415,No,Yes,36,123.7,125,21.03,172.6,106,14.67,280.5,127,12.62,8.8,4,2.38,1
MO,56,415,No,No,0,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1
HI,24,415,No,No,0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0
DC,144,415,No,No,0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0
VA,90,415,No,No,0,102,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2
WA,110,415,No,No,0,241.2,105,41,174.3,85,14.82,245.3,59,11.04,8.5,4,2.3,2
DC,60,408,No,No,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1
CA,120,510,No,No,0,134.8,94,22.92,204.1,106,17.35,238.4,109,10.73,6.7,8,1.81,1
UT,126,408,No,No,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1
IA,152,415,No,No,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1
WI,96,510,No,Yes,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1
NM,117,415,No,No,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1
OR,133,415,No,No,0,143.8,71,24.45,184,131,15.64,275.5,132,12.4,12.9,4,3.48,3
OH,75,510,No,Yes,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0
CO,192,415,No,No,0,185,88,31.45,224.9,98,19.12,212.4,105,9.56,11.4,3,3.08,2
KS,124,415,No,No,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3
OR,81,415,No,No,0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0
FL,143,415,No,No,0,119.1,117,20.25,287.7,136,24.45,223,100,10.04,12.2,4,3.29,0
OH,115,510,Yes,No,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1
NM,62,415,No,No,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,8.5,4,2.3,4
IL,31,415,No,Yes,28,210.5,101,35.79,250.5,86,21.29,241.6,125,10.87,11.5,2,3.11,1
UT,59,510,No,No,0,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1
AK,104,408,No,No,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1
MA,101,415,No,Yes,21,238,88,40.46,209.6,84,17.82,233,95,10.49,10,5,2.7,2
NE,70,415,No,No,0,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1
NJ,129,415,No,No,0,168.4,117,28.63,217.1,129,18.45,81.6,100,3.67,11.8,7,3.19,1
TN,108,510,No,Yes,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4
NY,160,408,No,No,0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1
AL,72,415,No,No,0,166.5,102,28.31,261,103,22.19,262.7,85,11.82,13.3,5,3.59,0
ND,35,415,No,No,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1
NH,103,408,No,No,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8
MA,88,415,No,No,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4,1
MN,52,415,No,Yes,32,130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,2
WI,73,415,No,No,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10,8,2.7,0
SC,161,510,No,No,0,297.9,141,50.64,238.1,107,20.24,240.5,93,10.82,8.9,5,2.4,1
SC,88,510,No,No,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4
HI,3,408,No,No,0,139,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4
WY,160,408,No,No,0,82.7,116,14.06,194.6,95,16.54,159,54,7.15,10.9,9,2.94,0
VT,113,510,No,No,0,207.2,113,35.22,256,80,21.76,211,87,9.49,9.9,1,2.67,1
PA,79,415,No,No,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1
DE,99,415,No,No,0,254.4,120,43.25,159.3,92,13.54,264.4,94,11.9,6,5,1.62,1
UT,201,510,No,No,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7,6,1.89,1
ID,74,415,No,No,0,221.1,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,2.86,0
MA,34,415,No,No,0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11,10,2.97,2
MT,85,408,No,Yes,17,89.8,88,15.27,233.2,75,19.82,165.7,116,7.46,9.3,7,2.51,4
IA,89,415,No,Yes,35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1
WV,23,510,No,Yes,31,156.6,84,26.62,161.5,96,13.73,294.6,107,13.26,9.4,6,2.54,1
MD,67,415,No,No,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2
MN,152,415,Yes,Yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9
GA,85,510,No,No,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11,2,2.97,3
AL,8,415,No,Yes,36,242.9,67,41.29,170.9,59,14.53,177.3,130,7.98,4.8,12,1.3,1
MS,64,408,Yes,No,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2
FL,155,415,No,No,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3
SC,77,510,No,Yes,28,135.9,117,23.1,244.5,102,20.78,207.5,74,9.34,11.5,3,3.11,4
MO,58,415,No,No,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1
WV,143,510,No,No,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1
AK,99,510,No,No,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,12.4,4,3.35,3
IA,45,415,No,No,0,211.3,87,35.92,165.7,97,14.08,265.9,72,11.97,13.3,6,3.59,1
FL,85,408,No,Yes,33,207.9,95,35.34,233.5,88,19.85,221.3,92,9.96,13.5,3,3.65,1
WV,86,415,No,Yes,38,123,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1
OR,72,510,No,No,0,141.3,133,24.02,134.9,96,11.47,227.5,97,10.24,11.2,3,3.02,2
CT,87,415,No,No,0,240,83,40.8,134.1,106,11.4,189.1,84,8.51,9.3,2,2.51,0
FL,166,510,Yes,No,0,47.7,89,8.11,264.4,95,22.47,235.2,97,10.58,13.2,3,3.56,0
SC,99,415,No,Yes,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2
AZ,127,415,No,Yes,14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1
MO,107,415,No,No,0,146.9,94,24.97,114.3,111,9.72,114.5,97,5.15,11.4,5,3.08,3
WV,121,415,No,No,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0
OH,124,510,No,No,0,193,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1
WV,62,408,No,No,0,128.7,111,21.88,169.5,104,14.41,193.6,97,8.71,10.3,5,2.78,1
OK,134,415,No,No,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10,9,2.7,2
AL,172,408,No,No,0,270,102,45.9,256.6,111,21.81,168.5,104,7.58,12,5,3.24,2
WV,112,415,Yes,No,0,161.9,138,27.52,200.9,114,17.08,134,134,6.03,10.7,4,2.89,1
NH,90,415,No,Yes,42,193.3,66,32.86,263.3,85,22.38,214.4,97,9.65,11.1,4,3,0
OH,83,415,No,No,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0
WV,161,415,No,No,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4
WI,149,415,Yes,Yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5
MD,107,415,No,No,0,294.9,71,50.13,192.8,78,16.39,148.1,87,6.66,13.2,5,3.56,1
TX,110,415,No,Yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1
SD,128,510,Yes,Yes,32,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2
KS,164,510,No,Yes,30,238.8,100,40.6,230,121,19.55,206.3,66,9.28,13.2,8,3.56,1
AL,25,408,No,No,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1
MI,148,415,Yes,No,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0
MA,136,408,Yes,No,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97,3
KS,46,510,No,No,0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2
AL,88,415,No,No,0,181.9,90,30.92,151.5,87,12.88,143,100,6.44,7.5,3,2.03,1
GA,76,415,No,No,0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0
IN,117,415,No,No,0,118.4,126,20.13,249.3,97,21.19,227,56,10.22,13.6,3,3.67,5
MN,81,510,No,No,0,145.6,59,24.75,287.9,131,24.47,181.7,121,8.18,9.2,4,2.48,2
AZ,134,415,No,Yes,40,142.9,105,24.29,88.6,61,7.53,290,96,13.05,10.8,6,2.92,1
MA,112,415,No,Yes,17,183.2,95,31.14,252.8,125,21.49,156.7,95,7.05,9.7,3,2.62,0
SC,109,415,No,No,0,222.5,74,37.83,169.7,75,14.42,264.3,94,11.89,9,3,2.43,2
MT,78,415,No,No,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1
AL,67,415,No,Yes,28,95,94,16.15,291.2,73,24.75,159.6,114,7.18,10,2,2.7,2
WA,97,408,No,No,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0
ND,90,415,No,Yes,22,124.5,94,21.17,231.7,90,19.69,222.2,108,10,6.4,12,1.73,1
LA,106,408,No,No,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1
AK,127,408,No,No,0,182.3,124,30.99,169.9,110,14.44,184,116,8.28,9.3,3,2.51,1
MI,52,415,No,No,0,204.4,97,34.75,273.2,128,23.22,179.6,118,8.08,11,5,2.97,1
MI,30,510,No,No,0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0
WV,127,510,No,No,0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10,1,2.7,2
MD,90,415,No,No,0,114.4,122,19.45,127.7,154,10.85,253.1,109,11.39,10.1,5,2.73,2
CT,96,415,No,Yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5
MN,152,415,No,No,0,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81,1
NY,31,408,No,Yes,28,171.8,116,29.21,240.7,125,20.46,245.5,80,11.05,10.6,7,2.86,1
MS,122,408,No,Yes,45,147.8,85,25.13,147.4,93,12.53,203.5,110,9.16,14,5,3.78,1
FL,105,415,No,No,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2
AZ,138,415,No,No,0,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0
TN,123,415,No,No,0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3
ID,79,510,No,Yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4
ND,68,408,No,No,0,219.6,97,37.33,141.1,144,11.99,205.7,101,9.26,10.8,4,2.92,2
DC,114,415,No,No,0,147.1,119,25.01,161,111,13.69,275.9,106,12.42,9,3,2.43,5
