GA,103,415,No,Yes,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2
PA,141,510,No,No,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1
DC,148,415,No,Yes,38,209.2,110,35.56,116.6,73,9.91,109.6,105,4.93,16.5,4,4.46,2
ND,154,408,No,Yes,35,224.0,102,38.08,192.0,99,16.32,163.1,100,7.34,9.6,2,2.59,0
NM,118,415,No,Yes,42,148.7,105,25.28,167.3,105,14.22,270.6,105,12.18,10.4,7,2.81,0
WA,130,510,No,No,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0
WI,67,510,No,No,0,109.1,134,18.55,142.3,76,12.1,91.2,86,4.1,10.9,5,2.94,2
MS,140,408,No,No,0,162.6,98,27.64,206.2,109,17.53,141.6,66,6.37,8.2,2,2.21,1
ND,101,415,No,No,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0.0,0,0.0,3
OR,89,415,No,Yes,12,188.0,105,31.96,151.3,107,12.86,201.9,132,9.09,10.5,3,2.84,2
OR,60,415,No,No,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0
DC,70,415,No,No,0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1
RI,106,510,Yes,No,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3
MI,82,415,No,No,0,135.4,102,23.02,237.1,122,20.15,118.3,91,5.32,17.5,4,4.73,0
WA,118,510,No,No,0,113.0,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2
UT,81,510,No,No,0,154.5,84,26.27,216.2,91,18.38,229.8,82,10.34,13.7,3,3.7,1
NY,87,415,No,No,0,204.8,101,34.82,161.0,80,13.69,285.7,89,12.86,9.5,3,2.57,0
IN,46,415,No,Yes,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1
CT,106,510,No,Yes,33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1
WA,117,408,No,No,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12.0,4,3.24,2
ND,180,415,No,No,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3
WY,97,415,No,Yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1
NJ,151,415,No,No,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2
OH,88,408,No,No,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2
MA,80,510,No,No,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2
AK,78,510,No,No,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2
FL,103,415,No,No,0,158.7,90,26.98,198.4,117,16.86,181.1,76,8.15,10.5,4,2.84,1
SD,116,408,No,No,0,167.8,119,28.53,142.0,123,12.07,190.7,128,8.58,7.3,4,1.97,2
OH,66,415,No,No,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2
AL,93,408,No,No,0,267.9,114,45.54,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3
NY,122,510,No,No,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0
AK,110,408,No,No,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3.0,3
WY,139,415,No,No,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3
HI,106,415,No,No,0,147.9,97,25.14,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38,2
WV,83,415,No,Yes,37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1
CO,76,408,No,Yes,26,214.6,110,36.48,205.2,87,17.44,134.6,140,6.06,8.1,2,2.19,1
TX,73,415,No,No,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1
VA,104,415,No,Yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4
NJ,136,408,No,Yes,27,187.7,84,31.91,221.0,147,18.79,145.7,110,6.56,10.0,4,2.7,3
GA,132,415,No,No,0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5
GA,76,408,No,No,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0
IN,69,408,No,No,0,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0
NH,123,415,No,Yes,22,197.6,105,33.59,80.0,86,6.8,120.8,82,5.44,15.6,12,4.21,2
DE,115,415,No,No,0,195.9,111,33.3,227.0,108,19.3,313.2,113,14.09,13.2,1,3.56,2
KS,110,510,No,No,0,208.0,69,35.36,95.1,94,8.08,178.5,129,8.03,8.0,11,2.16,1
MT,143,408,No,Yes,22,141.8,116,24.11,167.3,99,14.22,178.1,130,8.01,7.8,3,2.11,1
TN,129,408,No,No,0,101.4,145,17.24,249.1,116,21.17,157.6,107,7.09,7.1,6,1.92,1
SC,104,415,No,No,0,109.1,141,18.55,187.1,140,15.9,216.6,100,9.75,10.0,4,2.7,3
NY,59,408,No,No,0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2
OK,117,415,No,No,0,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,1
MO,66,415,No,Yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1
RI,127,510,No,No,0,96.0,117,16.32,177.0,68,15.05,162.2,127,7.3,9.7,4,2.62,3
WA,121,510,No,No,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3
FL,31,510,No,No,0,165.4,84,28.12,203.7,107,17.31,201.7,65,9.08,8.2,1,2.21,1
NC,170,415,No,No,0,246.4,107,41.89,228.1,124,19.39,166.4,95,7.49,9.1,8,2.46,0
MI,101,510,No,No,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1
OK,172,408,No,No,0,203.9,109,34.66,234.0,123,19.89,160.7,65,7.23,17.8,4,4.81,4
