A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,y
9.4,0.56,7.4,3.51,11.0,0.0,0.7,0.076,0.9978,1.9,34.0,1
9.8,0.68,7.8,3.2,25.0,0.0,0.88,0.098,0.9968,2.6,67.0,1
9.8,0.65,7.8,3.26,15.0,0.04,0.76,0.092,0.997,2.3,54.0,1
9.8,0.58,11.2,3.16,17.0,0.56,0.28,0.075,0.998,1.9,60.0,0
9.4,0.56,7.4,3.51,11.0,0.0,0.7,0.076,0.9978,1.9,34.0,1
9.4,0.56,7.4,3.51,13.0,0.0,0.66,0.075,0.9978,1.8,40.0,1
9.4,0.46,7.9,3.3,15.0,0.06,0.6,0.069,0.9964,1.6,59.0,1
10.5,0.8,7.5,3.35,17.0,0.36,0.5,0.071,0.9978,6.1,102.0,1
9.2,0.54,6.7,3.28,15.0,0.08,0.58,0.097,0.9959,1.8,65.0,1
10.5,0.8,7.5,3.35,17.0,0.36,0.5,0.071,0.9978,6.1,102.0,1
9.9,0.52,5.6,3.58,16.0,0.0,0.615,0.089,0.9943,1.6,59.0,1
9.1,1.56,7.8,3.26,9.0,0.29,0.61,0.114,0.9974,1.6,29.0,1
9.2,0.88,8.9,3.16,52.0,0.18,0.62,0.176,0.9986,3.8,145.0,1
9.2,0.93,8.9,3.17,51.0,0.19,0.62,0.17,0.9986,3.9,148.0,1
9.3,1.28,8.1,3.11,16.0,0.28,0.56,0.368,0.9968,1.7,56.0,1
9.2,1.08,7.9,3.04,17.0,0.51,0.32,0.341,0.9969,1.8,56.0,0
9.4,0.53,8.9,3.39,29.0,0.48,0.22,0.077,0.9968,1.8,60.0,0
9.7,0.65,7.6,3.52,23.0,0.31,0.39,0.082,0.9982,2.3,71.0,1
9.5,0.91,7.9,3.17,10.0,0.21,0.43,0.106,0.9966,1.6,37.0,1
9.4,0.53,8.5,3.17,9.0,0.11,0.49,0.084,0.9968,2.3,67.0,1
9.7,0.63,6.9,3.43,21.0,0.14,0.4,0.085,0.9968,2.4,40.0,0
9.3,0.56,6.3,3.34,11.0,0.16,0.39,0.08,0.9955,1.4,23.0,1
9.5,0.59,7.6,3.28,4.0,0.24,0.41,0.08,0.9962,1.8,11.0,1
9.5,0.91,7.9,3.17,10.0,0.21,0.43,0.106,0.9966,1.6,37.0,1
9.4,0.55,7.1,3.47,14.0,0.0,0.71,0.08,0.9972,1.9,35.0,1
9.8,0.59,7.8,3.38,8.0,0.0,0.645,0.082,0.9964,2.0,16.0,0
10.1,0.54,6.7,3.35,17.0,0.07,0.675,0.089,0.9958,2.4,82.0,1
10.6,0.57,6.9,3.46,22.0,0.0,0.685,0.105,0.9966,2.5,37.0,0
9.8,0.66,8.3,3.17,15.0,0.12,0.655,0.083,0.9966,2.3,113.0,1
9.4,0.52,6.9,3.45,40.0,0.12,0.605,0.073,0.9993,10.7,83.0,0
9.2,0.55,5.2,3.38,13.0,0.25,0.32,0.103,0.9957,1.8,50.0,1
9.6,0.55,7.8,3.4,5.0,0.0,0.645,0.086,0.9986,5.5,18.0,0
10.8,0.6,7.8,3.42,3.0,0.14,0.6,0.086,0.9975,2.4,15.0,0
10.5,0.83,7.3,3.33,12.0,0.36,0.45,0.074,0.9978,5.9,87.0,1
10.5,0.83,7.3,3.33,12.0,0.36,0.45,0.074,0.9978,5.9,87.0,1
10.5,0.9,7.5,3.21,8.0,0.2,0.49,0.332,0.9968,2.6,14.0,0
10.3,1.2,8.1,3.3,9.0,0.22,0.66,0.069,0.9968,2.2,23.0,1
9.5,0.52,6.8,3.48,5.0,0.02,0.67,0.05,0.9962,1.8,11.0,1
9.2,0.73,7.7,3.25,22.0,0.43,0.935,0.114,0.997,2.2,114.0,1
9.5,0.58,8.7,3.25,12.0,0.52,0.29,0.113,0.9969,1.6,37.0,1
9.2,0.56,6.4,3.34,5.0,0.23,0.4,0.066,0.9958,1.6,12.0,1
9.2,0.58,5.6,3.32,12.0,0.37,0.31,0.074,0.9954,1.4,96.0,1
9.2,0.74,8.8,3.15,4.0,0.26,0.66,0.074,0.9971,1.7,23.0,1
9.4,0.63,6.6,3.4,8.0,0.04,0.52,0.069,0.9956,2.2,15.0,0
9.4,0.64,6.6,3.39,6.0,0.04,0.5,0.068,0.9955,2.1,14.0,0
9.4,0.56,8.6,3.2,30.0,0.36,0.38,0.081,0.997,3.0,119.0,1
10.2,0.63,7.6,3.17,33.0,0.15,0.51,0.11,0.9955,2.8,73.0,0
9.5,0.53,7.7,3.34,25.0,0.04,0.62,0.084,0.9978,3.8,45.0,1
9.6,0.63,10.2,3.04,4.0,0.57,0.42,0.07,0.9971,3.4,10.0,1
9.4,0.77,7.5,3.26,50.0,0.12,0.63,0.111,0.9983,5.1,110.0,1
10.0,0.59,7.8,3.43,17.0,0.18,0.59,0.076,0.9975,2.3,54.0,1
9.4,0.54,7.3,3.41,9.0,0.31,0.39,0.074,0.9962,2.4,46.0,0
9.2,0.64,8.8,3.44,19.0,0.4,0.4,0.079,0.998,2.2,52.0,1
9.3,0.71,7.7,3.21,20.0,0.49,0.69,0.115,0.9968,1.8,112.0,1
9.8,0.57,7.0,3.39,13.0,0.05,0.735,0.081,0.9966,2.0,54.0,1
10.9,0.39,7.2,3.41,4.0,0.05,0.725,0.086,0.9962,4.65,11.0,1
10.9,0.39,7.2,3.41,4.0,0.05,0.725,0.086,0.9962,4.65,11.0,1
9.6,0.58,7.5,3.42,11.0,0.11,0.52,0.079,0.9968,1.5,39.0,1
10.7,0.58,6.6,3.44,6.0,0.07,0.705,0.076,0.9962,1.6,15.0,1
10.7,0.79,9.3,3.28,27.0,0.57,0.32,0.074,0.9969,2.0,65.0,1
10.5,0.95,8.0,3.34,8.0,0.05,0.705,0.074,0.9962,1.9,19.0,0
9.5,0.54,7.7,3.32,15.0,0.08,0.63,0.076,0.9967,1.9,27.0,0
9.5,0.48,7.7,3.32,17.0,0.23,0.67,0.088,0.9962,2.1,96.0,1
9.5,0.48,7.7,3.31,18.0,0.22,0.69,0.084,0.9961,1.9,94.0,1
9.6,0.82,9.7,3.28,28.0,0.54,0.32,0.094,0.9984,2.5,83.0,1
10.5,0.66,8.8,3.54,9.0,0.64,0.41,0.093,0.9986,2.2,42.0,1
10.5,0.66,8.8,3.54,9.0,0.64,0.41,0.093,0.9986,2.2,42.0,1
10.7,0.55,6.8,3.52,14.0,0.0,0.785,0.104,0.9966,2.4,30.0,0
10.1,0.52,6.7,3.38,12.0,0.12,0.75,0.086,0.9958,2.0,80.0,1
9.2,0.56,6.2,3.41,3.0,0.2,0.45,0.069,0.9958,1.6,15.0,1
9.4,1.28,7.8,3.13,22.0,0.7,0.43,0.464,0.9974,1.9,67.0,1
9.1,0.57,7.4,3.36,21.0,0.47,0.5,0.086,0.997,2.0,73.0,1
9.4,1.14,7.3,3.16,16.0,0.26,0.67,0.401,0.9969,1.8,51.0,1
10.3,0.78,6.3,3.44,18.0,0.48,0.3,0.069,0.9959,1.8,61.0,0
10.1,0.59,6.9,3.41,19.0,0.15,0.55,0.076,0.9961,2.2,40.0,1
9.9,1.95,8.6,2.93,20.0,0.28,0.49,0.11,0.9972,1.9,136.0,0
9.6,0.64,7.7,3.39,9.0,0.26,0.49,0.062,0.9966,1.9,31.0,1
9.5,1.22,9.3,3.14,34.0,0.44,0.39,0.107,0.9978,2.1,125.0,1
9.0,0.53,7.0,3.48,8.0,0.08,0.62,0.076,0.9978,1.8,24.0,1
9.5,0.54,7.9,3.23,42.0,0.26,0.52,0.079,0.9964,1.9,140.0,1
9.9,1.95,8.6,2.93,20.0,0.28,0.49,0.11,0.9972,1.9,136.0,0
9.8,1.98,8.6,2.93,19.0,0.29,0.49,0.11,0.9972,2.0,133.0,1
9.6,0.64,7.7,3.39,9.0,0.26,0.49,0.062,0.9966,1.9,31.0,1
12.9,0.6,4.7,3.85,17.0,0.17,0.6,0.058,0.9932,2.3,106.0,0
10.7,0.56,6.8,3.45,8.0,0.0,0.775,0.102,0.9965,3.0,23.0,1
9.2,0.63,7.0,3.25,3.0,0.25,0.5,0.07,0.9963,2.0,22.0,1
9.8,0.56,7.6,3.39,5.0,0.06,0.9,0.079,0.9967,2.5,10.0,1
9.0,0.59,8.1,3.3,13.0,0.18,0.545,0.08,0.9972,1.9,35.0,0
10.2,0.61,8.3,3.4,11.0,0.3,0.61,0.084,0.9972,2.1,50.0,0
10.4,0.56,7.8,3.31,8.0,0.3,0.5,0.075,0.9959,1.9,22.0,0
9.0,0.59,8.1,3.3,13.0,0.18,0.545,0.08,0.9972,1.9,35.0,0
9.2,0.51,8.1,3.29,12.0,0.22,0.575,0.077,0.9967,2.1,65.0,1
9.4,0.48,7.2,3.33,5.0,0.24,0.49,0.07,0.996,2.2,36.0,1
9.2,0.51,8.1,3.29,12.0,0.22,0.575,0.077,0.9967,2.1,65.0,1
9.3,1.31,7.8,3.08,18.0,0.68,0.41,0.467,0.9973,1.7,69.0,1
9.3,0.79,6.2,3.46,15.0,0.31,0.63,0.088,0.9969,1.7,64.0,1
9.6,0.8,8.0,3.37,18.0,0.53,0.33,0.091,0.9976,2.5,80.0,0
9.3,0.69,8.1,3.21,37.0,0.52,0.785,0.122,0.9969,2.0,153.0,1
9.5,0.93,7.8,3.19,12.0,0.19,0.56,0.104,0.9964,1.8,47.0,1
9.8,0.66,8.4,3.15,11.0,0.09,0.62,0.084,0.9964,2.2,108.0,1
9.8,0.66,8.4,3.15,14.0,0.1,0.6,0.085,0.9964,2.2,111.0,1
9.7,0.67,10.1,3.32,22.0,0.44,0.31,0.08,0.9988,2.3,46.0,0
9.5,0.93,7.8,3.19,12.0,0.19,0.56,0.104,0.9964,1.8,47.0,1
10.5,0.63,9.4,3.07,13.0,0.31,0.4,0.09,0.9966,2.2,62.0,0
10.0,0.61,8.3,3.39,11.0,0.28,0.54,0.077,0.9978,1.9,40.0,0
9.4,0.5,7.8,3.37,7.0,0.12,0.56,0.082,0.997,2.0,28.0,0
10.9,0.6,8.8,3.21,14.0,0.04,0.55,0.119,0.9962,2.2,56.0,0
9.2,0.54,7.0,3.34,22.0,0.08,0.69,0.097,0.9959,1.8,89.0,0
9.0,0.57,7.3,3.3,10.0,0.09,1.07,0.178,0.9962,1.7,89.0,1
10.9,0.6,8.8,3.21,14.0,0.04,0.55,0.119,0.9962,2.2,56.0,0
9.2,0.52,7.3,3.49,3.0,0.0,0.695,0.075,0.998,2.5,13.0,1
9.5,0.53,8.0,3.44,11.0,0.0,0.71,0.08,0.9976,2.6,34.0,1
9.5,0.48,7.8,3.39,21.0,0.17,0.5,0.082,0.996,1.6,102.0,1
9.4,0.7,9.0,3.16,27.0,0.04,0.62,0.146,0.9984,1.9,90.0,1
10.9,0.49,8.2,3.53,3.0,0.0,1.33,0.081,0.9964,1.7,12.0,1
10.9,0.48,8.1,3.54,3.0,0.0,1.33,0.082,0.9964,1.8,12.0,1
9.4,0.57,6.1,3.42,6.0,0.15,0.38,0.072,0.9955,1.8,19.0,1
9.4,0.66,8.0,3.24,30.0,0.56,0.745,0.118,0.9968,2.0,134.0,1
13.0,0.63,5.6,3.63,17.0,0.09,0.5,0.049,0.9937,2.3,99.0,1
13.0,0.63,5.6,3.63,17.0,0.09,0.5,0.049,0.9937,2.3,99.0,1
9.8,0.58,6.6,3.4,17.0,0.01,0.5,0.06,0.9952,1.5,26.0,0
9.9,0.55,7.9,3.22,13.0,0.05,1.04,0.084,0.9959,2.2,29.0,0
9.6,0.82,8.4,3.19,16.0,0.11,0.745,0.09,0.9965,1.9,63.0,1
9.5,0.77,8.3,3.23,10.0,0.15,0.715,0.089,0.9968,1.8,52.0,1
9.2,0.64,7.2,3.48,13.0,0.36,0.415,0.081,0.9972,2.0,45.0,1
9.5,0.54,7.8,3.33,15.0,0.19,0.56,0.081,0.9962,2.1,105.0,1
9.5,0.54,7.8,3.32,17.0,0.19,0.56,0.081,0.9962,2.0,108.0,1
9.6,0.82,8.4,3.19,16.0,0.11,0.745,0.09,0.9965,1.9,63.0,1
9.5,0.77,8.3,3.23,10.0,0.15,0.715,0.089,0.9968,1.8,52.0,1
14.0,0.79,5.2,3.68,27.0,0.0,0.34,0.05,0.9916,1.8,63.0,0
9.4,0.58,6.3,3.34,3.0,0.08,0.39,0.066,0.9954,1.7,20.0,1
14.0,0.79,5.2,3.68,27.0,0.0,0.34,0.05,0.9916,1.8,63.0,0
