A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,y
8.8,0.45,7.0,3.0,45.0,0.36,0.27,0.045,1.001,20.7,170.0,0
9.5,0.49,6.3,3.3,14.0,0.34,0.3,0.049,0.994,1.6,132.0,0
10.1,0.44,8.1,3.26,30.0,0.4,0.28,0.05,0.9951,6.9,97.0,0
9.9,0.4,7.2,3.19,47.0,0.32,0.23,0.058,0.9956,8.5,186.0,0
9.9,0.4,7.2,3.19,47.0,0.32,0.23,0.058,0.9956,8.5,186.0,0
10.1,0.44,8.1,3.26,30.0,0.4,0.28,0.05,0.9951,6.9,97.0,0
9.6,0.47,6.2,3.18,30.0,0.16,0.32,0.045,0.9949,7.0,136.0,0
8.8,0.45,7.0,3.0,45.0,0.36,0.27,0.045,1.001,20.7,170.0,0
9.5,0.49,6.3,3.3,14.0,0.34,0.3,0.049,0.994,1.6,132.0,0
11.0,0.45,8.1,3.22,28.0,0.43,0.22,0.044,0.9938,1.5,129.0,0
12.0,0.56,8.1,2.99,11.0,0.41,0.27,0.033,0.9908,1.45,63.0,1
9.7,0.53,8.6,3.14,17.0,0.4,0.23,0.035,0.9947,4.2,109.0,1
10.8,0.63,7.9,3.18,16.0,0.37,0.18,0.04,0.992,1.2,75.0,1
9.7,0.67,8.3,2.98,41.0,0.62,0.42,0.04,1.0002,19.25,172.0,1
9.6,0.36,6.3,3.24,30.0,0.04,0.48,0.046,0.9928,1.1,99.0,0
11.3,0.53,7.4,3.12,17.0,0.42,0.34,0.033,0.9917,1.1,171.0,0
9.5,0.5,6.5,3.22,34.0,0.14,0.31,0.044,0.9955,7.5,133.0,1
9.3,0.51,7.6,3.05,25.0,0.14,0.67,0.074,0.9937,1.5,168.0,1
10.0,0.47,6.6,3.42,16.0,0.41,0.27,0.052,0.9951,1.3,142.0,0
10.4,0.5,7.0,3.25,56.0,0.32,0.25,0.046,0.9955,9.0,245.0,0
10.0,0.44,6.9,3.45,35.0,0.35,0.24,0.052,0.993,1.0,146.0,0
10.5,0.53,7.0,3.38,32.0,0.39,0.28,0.051,0.9961,8.7,141.0,0
11.6,0.49,7.4,3.19,17.0,0.48,0.27,0.047,0.9914,1.1,132.0,0
10.0,0.53,8.5,3.2,20.0,0.39,0.24,0.044,0.9974,10.4,142.0,0
10.2,0.4,8.3,3.47,7.0,0.34,0.14,0.042,0.9934,1.1,47.0,0
10.8,0.44,7.4,3.19,31.0,0.36,0.25,0.05,0.992,2.05,100.0,0
9.0,0.51,6.2,3.42,43.0,0.34,0.12,0.045,0.9939,1.5,117.0,0
10.2,0.37,5.8,3.37,22.0,0.2,0.27,0.044,0.9962,14.95,179.0,1
12.8,0.42,7.3,3.19,21.0,0.43,0.28,0.08,0.9905,1.7,123.0,1
10.0,0.35,6.5,3.24,25.0,0.23,0.39,0.051,0.9934,5.4,149.0,1
11.2,0.28,7.0,3.13,38.0,0.32,0.33,0.053,0.9906,1.2,138.0,0
8.6,0.36,7.3,3.21,45.0,0.39,0.24,0.057,0.9999,17.95,149.0,1
8.6,0.36,7.3,3.21,45.0,0.39,0.24,0.057,0.9999,17.95,149.0,1
9.4,0.36,6.7,3.11,63.0,0.39,0.23,0.172,0.9937,2.5,158.0,0
9.4,0.34,6.7,3.1,63.0,0.39,0.24,0.173,0.9937,2.9,157.0,0
9.8,0.46,7.0,3.13,28.0,0.26,0.31,0.069,0.9954,7.4,160.0,0
9.5,0.56,6.6,3.22,33.0,0.27,0.24,0.057,0.9934,1.4,152.0,0
9.5,0.56,6.7,3.24,33.0,0.26,0.23,0.06,0.9934,1.4,154.0,0
9.8,0.52,6.2,3.25,62.0,0.25,0.46,0.066,0.9939,4.4,207.0,1
9.8,0.46,7.0,3.13,28.0,0.26,0.31,0.069,0.9954,7.4,160.0,0
9.8,0.48,6.9,3.36,32.0,0.35,0.19,0.067,0.995,5.0,150.0,1
11.7,0.44,7.2,3.35,31.0,0.31,0.19,0.062,0.9917,1.6,173.0,0
10.9,0.35,6.4,3.31,39.0,0.35,0.18,0.045,0.9911,1.0,108.0,0
9.1,0.38,6.8,3.05,38.0,0.59,0.2,0.147,0.993,0.9,132.0,0
11.0,0.52,6.9,3.13,29.0,0.35,0.25,0.039,0.9908,1.3,191.0,0
9.6,0.5,7.2,3.09,37.0,0.34,0.21,0.043,0.9962,11.9,213.0,0
8.9,0.36,6.0,3.3,50.0,0.26,0.19,0.048,0.9972,12.4,147.0,0
10.2,0.38,6.6,3.11,25.0,0.15,0.38,0.044,0.9931,4.6,78.0,0
9.9,0.34,7.4,3.36,44.0,0.36,0.2,0.038,0.9926,1.2,111.0,0
8.6,0.46,6.8,3.03,30.0,0.24,0.22,0.092,0.9951,4.9,123.0,0
8.9,0.36,6.0,3.3,50.0,0.26,0.19,0.048,0.9972,12.4,147.0,0
10.5,0.34,7.0,3.02,17.0,0.07,0.47,0.035,0.991,1.1,151.0,1
10.2,0.38,6.6,3.11,25.0,0.15,0.38,0.044,0.9931,4.6,78.0,0
10.3,0.46,7.2,3.15,31.0,0.27,0.24,0.038,0.9927,1.4,122.0,0
9.1,0.54,6.2,3.22,29.0,0.03,0.35,0.064,0.9934,1.2,120.0,1
9.8,0.42,6.7,3.14,81.0,0.13,0.25,0.041,0.992,1.2,174.0,1
9.5,0.35,7.4,3.13,21.0,0.29,0.24,0.05,0.9962,10.1,105.0,1
9.0,0.51,6.2,3.1,48.0,0.43,0.27,0.056,0.9956,7.8,244.0,0
9.5,0.6,6.8,3.32,50.5,0.23,0.3,0.061,0.9958,4.6,238.5,1
10.0,0.71,6.0,3.69,31.0,0.28,0.27,0.063,0.9964,4.8,201.0,1
9.1,0.49,8.6,2.95,9.0,0.46,0.23,0.054,0.9941,1.0,72.0,0
9.5,0.35,7.4,3.13,21.0,0.29,0.24,0.05,0.9962,10.1,105.0,1
9.3,0.56,7.4,2.94,26.0,0.3,0.18,0.064,0.9961,8.8,103.0,1
9.0,0.37,6.7,3.27,21.0,0.28,0.54,0.06,0.9949,5.4,105.0,1
10.6,0.77,6.8,3.39,34.0,0.31,0.22,0.053,0.9929,1.4,114.0,0
9.2,0.6,7.1,3.21,51.0,0.34,0.2,0.05,0.9985,16.0,166.0,0
10.0,0.42,7.1,3.17,47.0,0.2,0.34,0.063,0.9946,6.1,164.0,1
9.5,0.46,7.3,3.33,42.0,0.3,0.22,0.047,0.9966,8.2,207.0,0
8.7,0.45,7.1,3.11,54.0,0.61,0.43,0.045,0.9974,11.8,155.0,1
8.7,0.46,7.1,3.12,52.0,0.62,0.44,0.044,0.9975,11.8,152.0,0
8.7,0.44,7.2,3.09,55.0,0.63,0.39,0.044,0.9974,11.0,156.0,0
9.7,0.48,6.8,3.22,69.0,0.31,0.25,0.05,0.9972,13.3,202.0,0
8.7,0.45,7.1,3.11,54.0,0.61,0.43,0.045,0.9974,11.8,155.0,1
8.7,0.46,7.1,3.12,52.0,0.62,0.44,0.044,0.9975,11.8,152.0,0
8.7,0.44,7.2,3.09,55.0,0.63,0.39,0.044,0.9974,11.0,156.0,0
9.0,0.47,6.1,3.12,65.0,0.43,0.27,0.049,0.9957,7.5,243.0,1
9.2,0.42,7.1,3.04,62.0,0.29,0.26,0.044,0.9969,12.4,240.0,0
8.8,0.5,6.0,3.14,26.0,0.66,0.34,0.046,0.9979,15.9,164.0,0
8.8,0.5,6.0,3.14,26.0,0.66,0.34,0.046,0.9979,15.9,164.0,0
9.1,0.44,7.4,3.0,52.0,0.37,0.25,0.06,0.9975,13.5,192.0,1
9.4,0.41,7.1,3.4,64.0,0.32,0.12,0.054,0.9962,9.6,162.0,1
9.4,0.39,6.0,3.34,55.0,0.24,0.21,0.05,0.997,12.1,164.0,1
9.0,0.46,7.5,2.99,44.0,0.4,0.305,0.059,1.0,18.9,170.0,1
9.1,0.44,7.4,3.0,52.0,0.37,0.25,0.06,0.9975,13.5,192.0,1
